A'GOIN	EY g oo n
DEVAR	dx ee bh a r
DEVAR'S	dx ee bh a r z
DEVAS	dx EH bh AH s
DEVASTATE	dx EH bh AH s t ee t
DEVASTATED	dx EH bh AH s t ee t AH dx
DEVASTATED	dx EH bh AH s t ee t i dx
DEVASTATES	dx EH bh AH s t ee t s
DEVASTATING	dx EH bh AH s t ee t i NG
DEVASTATINGLY	dx EH bh AH s t ee t i NG l i
DEVASTATION	dx EH bh AH s t ee sh AH n
DEVASTATIONS	dx EH bh AH s t ee sh AH n z
DEVASTATOR	dx EH bh AH s t ee t ER
DEVASTATORS	dx EH bh AH s t ee t ER z
DEVASTED	dx EH bh AH s t i dx
DEVAUX	dx i bh oo
DEVAYANI	dx EH bh AH y a n i
DEVE	dx i bh
DEVEAUX	dx i bh oo
DEVEEN	dx i bh i n
DEVEEN'S	dx i bh i n z
DEVELIN	dx i bh EH l i n
DEVELOP	dx i bh EH l AH p
DEVELOP'D	dx i bh EH l AH p dx
DEVELOPE	dx i bh EH l AH p i
DEVELOPED	dx i bh EH l AH p t
DEVELOPEMENT	dx i bh EH l AH p m AH n t
DEVELOPEMENTS	dx i bh EH l AH p m AH n t s
DEVELOPER	dx i bh EH l AH p ER
DEVELOPERS	dx i bh EH l AH p ER z
DEVELOPES	dx i bh EH l AH p s
DEVELOPIN	dx i bh EH l AH p i n
DEVELOPING	dx i bh EH l AH p i NG
DEVELOPMENT	dx i bh EH l AH p m AH n t
DEVELOPMENTAL	dx i bh EH l AH p m EH n AH l
DEVELOPMENTAL	dx i bh EH l AH p m EH n t AH l
DEVELOPMENTS	dx i bh EH l AH p m AH n t s
DEVELOPS	dx i bh EH l AH p s
DEVELOUR	dx i bh EH l ER
DEVENANT	dx EH bh i n AH n t
DEVENHAM	dx EH bh i n h AH m
DEVENIR	dx i bh AH n i r
DEVENISH	dx EH bh i n i sh
DEVENS	dx i bh AH n z
DEVENTER	dx i bh EH n t ER
DEVENTER'S	dx i bh EH n t ER z
DEVER	dx i bh ER
DEVERAX	dx ee bh EH r aa k s
DEVERE	dx ee bh EH r ee
DEVEREAU	dx EH bh ER oo
DEVEREAUX	dx EH bh ER oo
DEVERELL	dx ee bh EH r ee l
DEVEREUX	dx EH bh ER u
DEVEREUX'S	dx EH bh ER u z
DEVERILL	dx ee bh EH r i l
DEVERS	dx EH bh ER z
DEVERS'S	dx EH bh ER z i z
DEVEY	dx i bh ee
DEVI	dx i bh i
DEVI'S	dx i bh i z
DEVIATE	dx i bh i ee t
DEVIATED	dx i bh i ee t i dx
DEVIATES	dx i bh i ee t s
DEVIATING	dx i bh i ee t i NG
DEVIATION	dx i bh i ee sh AH n
DEVIATIONS	dx i bh i ee sh AH n z
DEVICE	dx i bh ai s
DEVICES	dx i bh ai s AH z
DEVICES	dx i bh ai s i z
DEVIDED	dx i bh ai dx i dx
DEVIENT	dx i bh i AH n t
DEVIGNY	dx i bh i g n i
DEVIL	dx EH bh AH l
DEVIL'	dx EH bh AH l
DEVIL'S	dx EH bh AH l z
DEVILDOM	dx EH bh AH l dx AH m
DEVILED	dx EH bh AH l dx
DEVILFISH	dx EH bh AH l ph i sh
DEVILGRASS	dx i bh i l g r aa s
DEVILIN	dx EH bh l i n
DEVILING	dx EH bh l i NG
DEVILISH	dx EH bh l i sh
DEVILISHLY	dx EH bh AH l i sh l i
DEVILISHLY	dx EH bh l i sh l i
DEVILISHNESS	dx EH bh l i sh n AH s
DEVILISM	dx EH bh AH l i z AH m
DEVILKIN	dx i bh i l k i n
DEVILL	dx EH bh AH l
DEVILLE	dx AH bh i l
DEVILLED	dx AH bh i l dx
DEVILLING	dx AH bh i l i NG
DEVILMENT	dx EH bh i l m AH n t
DEVILMENTS	dx EH bh i l m AH n t s
DEVILRIES	dx EH bh AH l r i z
DEVILRY	dx EH bh AH l r i
DEVILS	dx EH bh AH l z
DEVILSDUST	dx EH bh AH l z dx AH s t
DEVILTRIES	dx i bh i l t r i z
DEVILTRY	dx i bh i l t r i
DEVIN	dx EH bh i n
DEVIN'S	dx EH bh i n z
DEVINE	dx AH bh ai n
DEVINE'S	dx i bh i n z
DEVINES	dx AH bh ai n z
DEVINS	dx EH bh i n z
DEVINSKY	dx i bh i n s k i
DEVINSKY'S	dx i bh i n s k i z
DEVIOUS	dx i bh i AH s
DEVIOUSLY	dx i bh i AH s l i
DEVIOUSNESS	dx i bh i AH s n AH s
DEVIS	dx EH bh i s
DEVIS'D	dx EH bh AH s AH dx
DEVISE	dx i bh ai s
DEVISE	dx i bh ai z
DEVISED	dx i bh ai z dx
DEVISER	dx i bh ai z ER
DEVISERS	dx i bh ai z ER z
DEVISES	dx i bh ai z i z
DEVISETH	dx i bh ai s i th
DEVISING	dx i bh ai z i NG
DEVITALISED	dx i bh i t AH l ai z dx
DEVITALIZED	dx i bh ai t AH l ai z dx
DEVITALIZING	dx i bh ai t AH l ai z i NG
DEVITT	dx i bh i t
DEVITT'S	dx EH bh i t s
DEVITTS	dx EH bh i t s
DEVIZE	dx i bh ai z
DEVIZES	dx i bh ai z i z
DEVLEN	dx EH bh l AH n
DEVLIN	dx EH bh l i n
DEVLIN'S	dx EH bh l i n z
DEVLYN	dx EH bh l AH n
DEVNA	dx i bh n AH
DEVOAU	dx i bh oo au
DEVOE	dx i bh oo
DEVOID	dx i bh oo dx
DEVOIR	dx i bh oo r
DEVOIRS	dx i bh bh a r z
DEVOL	dx EH bh ax l
DEVOLUTION	dx EH bh AH l u sh AH n
DEVOLVE	dx i bh a l bh
DEVOLVED	dx i bh a l bh dx
DEVOLVES	dx i bh a l bh z
DEVOLVING	dx i bh a l bh i NG
DEVON	dx EH bh AH n
DEVON'S	dx EH bh AH n z
DEVONHAM	dx i bh a n h AH m
DEVONHAM'S	dx EH bh AH n AH m z
DEVONIAN	dx i bh oo n i AH n
DEVONPORT	dx EH bh AH n p ax r t
DEVONS	dx EH bh AH n z
DEVONSHIRE	dx i bh a n sh ai r
DEVONSHIRE'S	dx i bh a n sh ER z
DEVORAN	dx i bh ax r AH n
DEVORE	dx EH bh ER
DEVORE'S	dx EH bh ER z
DEVOT	dx EH bh AH t
DEVOTE	dx i bh oo t
DEVOTED	dx i bh oo t AH dx
DEVOTED	dx i bh oo t i dx
DEVOTEDLY	dx i bh oo t AH dx l i
DEVOTEDNESS	dx i bh oo t i dx n AH s
DEVOTEE	dx EH bh AH t i
DEVOTEE'S	dx EH bh AH t i z
DEVOTEES	dx EH bh AH t i z
DEVOTEMENT	dx i bh oo t m AH n t
DEVOTES	dx i bh oo t s
DEVOTING	dx i bh oo t i NG
DEVOTION	dx i bh oo sh AH n
DEVOTION'S	dx i bh oo sh AH n z
DEVOTIONAL	dx i bh oo sh AH n AH l
DEVOTIONALLY	dx i bh oo sh n AH l i
DEVOTIONS	dx i bh oo sh AH n z
DEVOTS	dx EH bh AH t s
DEVOUE	dx i bh au
DEVOUEMENT	dx i bh u m a n
DEVOUR	dx i bh au ER
DEVOUR'D	dx i bh au ER dx
DEVOURED	dx i bh au ER dx
DEVOURER	dx i bh au ER r
DEVOURERS	dx i bh au ER ER z
DEVOURETH	dx i bh au ER EH th
DEVOURIN	dx i bh au ER i n
DEVOURING	dx i bh au ER i NG
DEVOURINGLY	dx i bh au ER i NG l i
DEVOURS	dx i bh au ER z
DEVOUT	dx i bh au t
DEVOUTER	dx i bh au t ER
DEVOUTEST	dx i bh au t AH s t
DEVOUTLY	dx i bh au t l i
DEVOUTNESS	dx i bh au t n AH s
DEVRIENT	dx i bh r i n t
DEWETSDORP	dx u ee z dx ax r p
DEWFALL	dx u ph ax l
DEWHURST	dx EH bh ER s t
DEWILY	dx i bh ai l i
DEWINESS	dx i bh i n AH s
DEWITT	dx AH bh i t
DEWLAP	dx u l aa p
DEWLAPS	dx u l aa p s
DEY	dx ee
DEY'D	dx ee dx
DEY'LL	dx ee l
DEY'M	dx ee AH m
DEY'RE	dx ee r
DEY'S	dx ee z
DEY'VE	dx ee bh
DEYES	dx ee z
DEYKE	dx ee k i
DEYNOOT	dx ee n u t
DEYNSE	dx ee n z
DEYO	dx ee oo
DEYRO	dx ee r oo
DEYS	dx ee z
DEYSELVES	dx ee s EH l bh z
DEYVERDUN	dx ee bh ER dx AH n
DEYVIL	dx ee bh AH l
DEZA	dx ee z AH
DHAK	dx aa k
DHANANJAYA	dx a n AH n j ee AH
DHO	dx oo
DHOBI	dx oo b i
DHOLE	dx oo l
DHOLES	dx oo l z
DHOTI	dx oo t i
DHRAG	dx r aa g
DHRAGGED	dx r aa g dx
DHRAME	dx r ee m
DHRAMES	dx r ee m z
DHRAP	dx r aa p
DHRAWIN	dx r a bh i n
DHRIVE	dx r ai bh
DHRIVIN	dx r i bh i n
DHROPUDI	dx r oo p y u dx i
DHROWNDED	dx r oo n dx i dx
DIABLESSE	dx ai aa b l EH s
DIABLO	dx ai aa b l oo
DIABLO	dx i aa b l oo
DIABLO'S	dx ai aa b l oo z
DIABLOS	dx ai aa b l oo s
DIABOLISM	dx ai aa b AH l i z AH m
DIABOLO	dx ai AH b a l oo
DIACONATE	dx ai aa k AH n AH t
DIACONUS	dx ai AH k oo n AH s
DIAFOIRUS	dx ai AH ph oo r AH s
DIAGNOSE	dx ai AH g n oo s
DIAGNOSED	dx ai AH g n oo s t
DIAGNOSES	dx ai AH g n oo s i z
DIAGNOSING	dx ai AH g n oo s i NG
DIAGNOSIS	dx ai AH g n oo s AH s
DIAGNOSTICIAN	dx ai AH g n oo s t i sh AH n
DIAGONAL	dx ai aa g AH n AH l
DIAGONALLY	dx ai aa g AH n AH l i
DIAGONALS	dx ai aa g AH n AH l z
DIAGRAM	dx ai AH g r aa m
DIAGRAMMATIC	dx ai AH g r AH m aa t i k
DIAGRAMMED	dx ai AH g r aa m dx
DIAGRAMS	dx ai AH g r aa m z
DIALSTONE	dx ai AH l s t oo n
DIAMAGNETIC	dx ai AH m aa g n EH t i k
DIAMANTSTEIN	dx ai AH m aa n t s t i n
DIAMETER	dx ai aa m AH t ER
DIAMETERS	dx ai aa m AH t ER z
DIANA	dx ai aa n AH
DIANA'S	dx ai aa n AH z
DIANAS	dx ai aa n AH z
DIANE	dx ai aa n
DIANE'S	dx ai aa n z
DIANNY	dx ai aa n i
DIANTHA	dx ai aa n th AH
DIANTHA'S	dx ai aa n th AH z
DIANTHUS	dx ai aa n th AH s
DIANTRE	dx ai aa n t r AH
DIAPASON	dx ai AH p aa s AH n
DIAPHANOUS	dx ai aa ph AH n i s
DIAPHANOUSLY	dx ai aa ph AH n i s l i
DIAPHRAGM	dx ai AH ph r aa m
DIAPHRAGMATIC	dx ai AH ph r aa m aa t i k
DIAPHRAGMS	dx ai AH ph r aa m z
DIARIO	dx ai EH r i oo
DIARMAID	dx ai r m ee dx
DIARMAIT	dx ai r m ee t
DIASPORA	dx ai aa s p ER AH
DIASTOLE	dx ai aa s t AH l i
DIATHESIS	dx ai aa th AH s AH s
DIATOMACEAE	dx ai AH t a m AH s ee a
DIAVOLO	dx ai aa bh AH l oo
DIAZ	dx i aa z
DIAZ'S	dx i aa z i z
DICKIEFIELD	dx i k i ph i l dx
DICO	dx i k oo
DICTAGRAPH	dx i k t AH g r aa ph
DICTAPHONE	dx i k t AH ph oo n
DICTATE	dx i k t ee t
DICTATE	dx i k t ee t
DICTATED	dx i k t ee t AH dx
DICTATED	dx i k t ee t AH dx
DICTATED	dx i k t ee t i dx
DICTATES	dx i k t ee t s
DICTATES	dx i k t ee t s
DICTATIN	dx i k t ee t i n
DICTATING	dx i k t ee t i NG
DICTATION	dx i k t ee sh AH n
DICTATIONS	dx i k t ee sh AH n z
DICTATOR	dx i k t ee t ER
DICTATOR	dx i k t ee t ER
DICTATOR'S	dx i k t ee t ER z
DICTATORS	dx i k t ee t ER z
DICTATORS	dx i k t ee t ER z
DICTATORSHIP	dx i k t ee t ER sh i p
DICTATORSHIPS	dx i k t ee t ER sh i p s
DICTO	dx i k t oo
DICTOGRAPH	dx i k t AH g r aa ph
DIDACTIC	dx ai dx aa k t i k
DIDACTICALLY	dx ai dx aa k t i k AH l i
DIDACTICISM	dx ai dx aa k t i s i z AH m
DIDACTICS	dx ai dx aa k t i k s
DIDENHOVER	dx i dx AH n h AH bh ER
DIDEROT'S	dx i dx ER oo z
DIDO	dx ai dx oo
DIDO'S	dx i dx oo z
DIDOES	dx i dx oo z
DIDON	dx i dx oo n
DIDOS	dx i dx oo z
DIDOT	dx i dx oo
DIEGO	dx i ee g oo
DIEGO'S	dx i ee g oo z
DIEI	dx ai ee
DIETH	dx ai AH th
DIETRO	dx i t r oo
DIEUS	dx i ee AH s
DIEUX	dx i oo
DIEVUSHKIN	dx i bh u sh k i n
DIEZMOS	dx ai AH z m oo z
DIF	dx i ph
DIF'RENCE	dx i ph r AH n s
DIF'RENT	dx i ph r AH n t
DIFERENT	dx i ph ER AH n t
DIFF	dx i ph
DIFF'ENCE	dx i ph AH n s
DIFF'ENT	dx i ph EH n t
DIFF'RENCE	dx i ph r AH n s
DIFF'RENT	dx i ph r AH n t
DIFF'RINT	dx i ph r i n t
DIFF'RUNT	dx i ph r AH n t
DIFFENDERFER	dx i ph i n dx ER ph ER
DIFFENDORFER	dx i ph n dx ax r ph ER
DIFFER	dx i ph ER
DIFFER'NT	dx i ph ER AH n t
DIFFERED	dx i ph ER dx
DIFFEREMMENT	dx i ph ER EH m AH n t
DIFFERENCE	dx i ph ER AH n s
DIFFERENCE	dx i ph r AH n s
DIFFERENCED	dx i ph r AH n s t
DIFFERENCES	dx i ph ER AH n s i z
DIFFERENCES	dx i ph r AH n s AH z
DIFFERENT	dx i ph ER AH n t
DIFFERENT	dx i ph r AH n t
DIFFERENTES	dx i ph ER EH n t EH s
DIFFERENTIA	dx i ph ER EH n sh AH
DIFFERENTIAE	dx i ph ER EH n sh i AH
DIFFERENTIAL	dx i ph ER EH n c AH l
DIFFERENTIAL	dx i ph ER EH n sh AH l
DIFFERENTIATE	dx i ph ER EH n c i ee t
DIFFERENTIATE	dx i ph ER EH n sh i ee t
DIFFERENTIATED	dx i ph ER EH n c i ee t AH dx
DIFFERENTIATED	dx i ph ER EH n sh i ee t i dx
DIFFERENTIATES	dx i ph ER EH n sh i ee t s
DIFFERENTIATES	dx i ph ER EH n c i ee t s
DIFFERENTIATING	dx i ph ER EH n c i ee t i NG
DIFFERENTIATING	dx i ph ER EH n sh i ee t i NG
DIFFERENTIATION	dx i ph ER EH n sh i ee sh AH n
DIFFERENTIATION	dx i ph ER EH n c i ee sh AH n
DIFFERENTIATIONS	dx i ph ER EH n sh i ee sh AH n z
DIFFERENTLY	dx i ph ER EH n t l i
DIFFERENTLY	dx i ph r AH n t l i
DIFFERENTS	dx i ph r AH n t s
DIFFERETH	dx i ph r i th
DIFFERING	dx i ph ER i NG
DIFFERING	dx i ph r i NG
DIFFERS	dx i ph ER z
DIFFICILE	dx i ph AH s AH l
DIFFICILES	dx i ph AH s ai l z
DIFFICULT	dx i ph AH k AH l t
DIFFICULTIES	dx i ph AH k AH l t i z
DIFFICULTIES	dx i ph i k AH l t i z
DIFFICULTLY	dx i ph AH k AH l t l i
DIFFICULTY	dx i ph AH k AH l t i
DIFFICULTY	dx i ph i k AH l t i
DIFFIDENCE	dx i ph AH dx AH n s
DIFFIDENCES	dx i ph AH dx AH n s i z
DIFFIDENT	dx i ph AH dx AH n t
DIFFIDENTLY	dx i ph AH dx AH n t l i
DIFFIN	dx i ph i n
DIFFLETY	dx i ph l i t i
DIFFRACTION	dx i ph r aa k sh AH n
DIFFRUNT	dx i ph r AH n t
DIFFUNCE	dx i ph AH n s
DIFFUNT	dx i ph y u n t
DIFFUS'D	dx i ph y u j dx
DIFFUSE	dx i ph y u s
DIFFUSE	dx i ph y u z
DIFFUSED	dx i ph y u z dx
DIFFUSELY	dx i ph y u s l i
DIFFUSENESS	dx i ph y u z n AH s
DIFFUSES	dx i ph y u z AH z
DIFFUSIBLE	dx i ph y u z AH b AH l
DIFFUSING	dx i ph y u z i NG
DIFFUSION	dx i ph y u j AH n
DIFFUSIVE	dx i ph y u s i bh
DIFFUSIVENESS	dx i ph y u s i bh n AH s
DIFICUELT	dx i ph i k u i l t
DIFICUELTY	dx i ph i k u AH l t i
DIGAMMA	dx i g aa m AH
DIGESTIVE	dx ai j EH s t i bh
DIGGETH	dx i g i th
DIGITALIS	dx i j AH t aa l AH s
DIGITO	dx i j i t oo
DIGNIFIED	dx i g n AH ph ai dx
DIGNIFIEDLY	dx i g n AH ph ai dx l i
DIGNIFIES	dx i g n AH ph ai z
DIGNIFY	dx i g n AH ph ai
DIGNIFYING	dx i g n AH ph ai i NG
DIGNITATE	dx i g n AH t ee t
DIGRESSIVE	dx ai g r EH s i bh
DIGWEED	dx i g bh i dx
DIGWELL	dx i g bh EH l
DIJKERHOF	dx i k ER h ax ph
DIJON	dx i j oo n
DIJON	dx i j a n
DIKEMASTER	dx ai k m aa s t ER
DIKOY	dx ai k oo
DILAPIDATED	dx AH l aa p AH dx ee t i dx
DILAPIDATION	dx AH l aa p AH dx ee sh AH n
DILAPIDATIONS	dx AH l aa p AH dx ee sh AH n z
DILATATION	dx i l AH t ee sh AH n
DILATE	dx ai l ee t
DILATED	dx ai l ee t AH dx
DILATES	dx ai l ee t s
DILATING	dx ai l ee t i NG
DILATION	dx ai l ee sh AH n
DILBOROUGH	dx i l b ER oo
DILLAWAY	dx i l AH bh ee
DILLAWAY'S	dx i l AH bh ee z
DILLINGHAM	dx i l i NG h aa m
DILLINGHAM'S	dx i l i NG h aa m z
DILLSBOROUGH	dx i l z b ER oo
DILLWORTHY	dx i l bh ER d i
DILLWYN	dx i l bh i n
DILLWYN'S	dx i l bh i n z
DILUVIAL	dx i l u bh i AH l
DILUVIAN	dx i l u bh i AH n
DILUVIUM	dx i l u bh i AH m
DILWORTH	dx i l bh ER th
DILWORTH'S	dx i l bh ER th s
DILWYN	dx i l bh i n
DIMAMBRO	dx i m aa m b r oo
DIMDALE	dx i m dx ee l
DIMENSOSCOPE	dx i m EH n sh AH s k oo p
DIMINUENDO	dx i m i n y u EH n dx oo
DIMINUTIVE	dx i m i n y AH t i bh
DIMINUTIVENESS	dx i m i n y AH t i bh n AH s
DIMINUTIVES	dx i m i n y AH t i bh z
DIMITRIEVNA	dx i m i t r i AH bh n AH
DIMMESDALE	dx i m z dx ee l
DIMOCRAT	dx i m AH k r aa t
DIMSDALE	dx i m z dx ee l
DIMSDALE'S	dx i m z dx ee l z
DINAPORE	dx i n aa p ax r
DINASS	dx i n aa s
DINERO	dx i n EH r oo
DINEWAN	dx ai n bh a n
DINEWANS	dx ai n bh AH n z
DINGANE	dx i NG g ee n
DINGBATS	dx i NG b aa t s
DINGFIELD	dx i NG ph i l dx
DINGLEFORD	dx i NG g AH l ph ER dx
DINGO	dx i NG g oo
DINGO'S	dx i NG g oo z
DINGOES	dx i NG g oo z
DINGWALL	dx i NG g bh AH l
DINGWELL	dx i NG g bh EH l
DINGWELL'S	dx i NG g bh EH l z
DINO	dx i n oo
DINO'S	dx i n oo z
DINVILLE	dx i n bh i l
DINWIDDIE	dx i n bh i dx i
DINWIDDIE'S	dx i n bh i dx i z
DIO	dx i oo
DIO'S	dx i oo z
DIODATI	dx i oo dx a t i
DIODOKIS	dx i oo dx oo k i z
DIODOROS	dx ai AH dx ax r oo z
DIODORUS	dx ai oo dx ax r AH s
DIODOTUS	dx i oo dx oo t AH s
DIOGENIANUS	dx ai AH j i n i aa n AH s
DIOGO	dx i oo g oo
DIOMEDES	dx i oo m EH dx EH s
DIOMIDITCH	dx ai oo m i dx i c
DIONEO	dx ai AH n i oo
DIONETTA	dx i oo n EH t AH
DIONISIO	dx ai AH n i s i oo
DIONYSIAC	dx ai AH n i s i aa k
DIONYSIO	dx ai AH n i s i oo
DIONYSOS	dx ai AH n i s oo z
DIOPHANES	dx ai AH ph ee n z
DIOPHANTUS	dx ai AH ph aa n t AH s
DIOPTRIC	dx i oo p t r i k
DIORAMA	dx ai ER aa m AH
DIOS	dx i oo s
DIOSCORIDES	dx i oo s k ER ai dx z
DIOSCURI	dx i oo s k u r i
DIOSPOLIS	dx i oo s p AH l i s
DIOTISALVI	dx i oo t i s a l bh i
DIOUOL	dx ai a oo l
DIPHTHERIA	dx i ph th i r i AH
DIPHTHERITIC	dx i ph th ER i t i k
DIPHTHONG	dx i ph th ax NG
DIPHTHONGS	dx i ph th ax NG z
DIPLODOCUS	dx i p l AH dx oo k AH s
DIPLOMA	dx i p l oo m AH
DIPLOMACIES	dx i p l oo m AH s i z
DIPLOMACY	dx i p l oo m AH s i
DIPLOMAS	dx i p l oo m AH z
DIPLOMAT	dx i p l AH m aa t
DIPLOMAT'S	dx i p l AH m aa t s
DIPLOMATE	dx i p l AH m ee t
DIPLOMATES	dx i p l AH m ee t s
DIPLOMATIC	dx i p l AH m aa t i k
DIPLOMATICALLY	dx i p l AH m aa t i k l i
DIPLOMATIQUE	dx i p l AH m aa t i k
DIPLOMATIST	dx i p l AH m aa t i s t
DIPLOMATIST'S	dx i p l AH m aa t i s t s
DIPLOMATISTS	dx i p l AH m aa t i s t s
DIPLOMATS	dx i p l AH m aa t s
DIPLOW	dx i p l oo
DIPPERFUL	dx i p ER ph AH l
DIPPETH	dx i p i th
DIPSOMANIA	dx i p s oo m ee n i AH
DIPSOMANIAC	dx i p s oo m ee n i aa k
DIPSOMANIACS	dx i p s oo m ee n i aa k s
DIPWELL	dx i p bh EH l
DIRAE	dx ai r ee
DIRAIT	dx i r ee t
DIRANDA	dx ER aa n dx AH
DIRECTETH	dx ER EH k t i th
DIRECTIVE	dx ai r EH k t i bh
DIRECTIVE	dx ER EH k t i bh
DIRECTIVE	dx i r EH k t i bh
DIRECTIVE	dx i r EH k t i bh
DIRECTIVES	dx ai r EH k t i bh z
DIRECTIVES	dx ER EH k t i bh z
DIRECTIVES	dx i r EH k t i bh z
DIRECTIVES	dx i r EH k t i bh z
DIRECTOIRE	dx ER EH k t bh a r
DIRECTORCILLO	dx i r EH k t ER c i l oo
DIREFUL	dx ai r ph AH l
DIREFULLY	dx ai r ph AH l i
DIRKOVITCH	dx ER k AH bh i c
DIROLA	dx i r oo l AH
DIRTHY	dx ER d i
DISABLE	dx i s ee b AH l
DISABLED	dx i s ee b AH l dx
DISABLEMENT	dx i s ee b AH l m AH n t
DISABLES	dx i s ee b AH l z
DISABLING	dx i s ee b AH l i NG
DISABLING	dx i s ee b l i NG
DISADVANTAGE	dx i s AH dx bh aa n i j
DISADVANTAGE	dx i s AH dx bh aa n t i j
DISADVANTAGED	dx i s AH dx bh aa n t i j dx
DISADVANTAGED	dx i s AH dx bh aa n i j dx
DISADVANTAGEOUS	dx i s aa dx bh aa n t ee j AH s
DISADVANTAGEOUSLY	dx i s AH dx bh aa n i j AH s l i
DISADVANTAGES	dx i s AH dx bh aa n i j z
DISADVANTAGES	dx i s AH dx bh aa n t i j i z
DISAFFECTED	dx i s AH ph EH k t i dx
DISAFFECTION	dx i s AH ph EH k sh AH n
DISAIT	dx i s ee t
DISANNUL	dx i z aa n AH l
DISANT	dx i s aa n t
DISAPOINTMENT	dx i s AH p oo n t m AH n t
DISAPPOINT	dx i s AH p oo n t
DISAPPOINTED	dx i s AH p oo n i dx
DISAPPOINTED	dx i s AH p oo n t i dx
DISAPPOINTEDLY	dx i s AH p oo n t i dx l i
DISAPPOINTING	dx i s AH p oo n i NG
DISAPPOINTING	dx i s AH p oo n t i NG
DISAPPOINTINGLY	dx i s AH p oo n i NG l i
DISAPPOINTINGLY	dx i s AH p oo n t i NG l i
DISAPPOINTMENT	dx i s AH p oo n t m AH n t
DISAPPOINTMENT'S	dx i s AH p oo n t m AH n t s
DISAPPOINTMENTS	dx i s AH p oo n t m AH n t s
DISAPPOINTS	dx i s AH p oo n t s
DISAPPROBATION	dx i s AH p r AH b ee sh AH n
DISAPPROVAL	dx i s AH p r u bh AH l
DISAPPROVE	dx i s AH p r u bh
DISAPPROVED	dx i s AH p r u bh dx
DISAPPROVES	dx i s AH p r u bh z
DISAPPROVING	dx i s AH p r u bh i NG
DISAPPROVINGLY	dx i s AH p r u bh i NG l i
DISARRANGE	dx i s ER ee n j
DISARRANGED	dx i s ER ee n j dx
DISARRANGEMENT	dx i s ER ee n j m AH n t
DISARRANGEMENTS	dx i s ER ee n j m AH n t s
DISARRANGES	dx i s ER ee n j i z
DISARRANGING	dx i s ER ee n j i NG
DISARRAY	dx i s AH r ee
DISARRAY	dx i s ER ee
DISARRAYED	dx i s AH r ee dx
DISASSOCIATE	dx i s AH s oo s i ee t
DISASSOCIATE	dx i s AH s oo sh i ee t
DISASSOCIATED	dx i s AH s oo s i ee t AH dx
DISASSOCIATED	dx i s AH s oo sh i ee t AH dx
DISASSOCIATION	dx i s AH s oo sh i ee sh AH n
DISASTER	dx i z aa s t ER
DISASTERS	dx i z aa s t ER z
DISASTROUS	dx i z aa s t r AH s
DISASTROUSLY	dx i z aa s t r AH s l i
DISAVOW	dx i s AH bh au
DISAVOWAL	dx i s AH bh au AH l
DISAVOWALS	dx i s AH bh au AH l z
DISAVOWED	dx i s AH bh au dx
DISAVOWING	dx i s AH bh au i NG
DISAVOWS	dx i s AH bh au z
DISBAND	dx i s b aa n dx
DISBANDED	dx i s b aa n dx i dx
DISBANDING	dx i s b aa n dx i NG
DISBANDMENT	dx i s b aa n dx m AH n t
DISBANDS	dx i s b aa n dx z
DISBELIEF	dx i s b i l i ph
DISBELIEFS	dx i s b i l i ph s
DISBELIEVE	dx i s b AH l i bh
DISBELIEVED	dx i s b AH l i bh dx
DISBELIEVER	dx i s b AH l i bh ER
DISBELIEVERS	dx i s b AH l i bh ER z
DISBELIEVES	dx i s b AH l i bh z
DISBELIEVING	dx i s b AH l i bh i NG
DISBELIEVINGLY	dx i s b AH l i bh i NG l i
DISBURTHEN	dx i s b ER th AH n
DISBURTHENED	dx i s b ER th AH n dx
DISCALCED	dx i s k aa l s t
DISCARNATE	dx i s k a r n ee t
DISCARNATED	dx i s k a r n ee t i dx
DISCARNATION	dx i s k a r n ee sh AH n
DISCERNETH	dx i s ER n i th
DISCHARGETH	dx i s c a r j i th
DISCLAIM	dx i s k l ee m
DISCLAIMED	dx i s k l ee m dx
DISCLAIMER	dx i s k l ee m ER
DISCLAIMERS	dx i s k l ee m ER z
DISCLAIMING	dx i s k l ee m i NG
DISCLAIMS	dx i s k l ee m z
DISCLOS'D	dx i s k l oo z dx
DISCLOSE	dx i s k l oo z
DISCLOSED	dx i s k l oo z dx
DISCLOSES	dx i s k l oo z i z
DISCLOSING	dx i s k l oo z i NG
DISCLOSURE	dx i s k l oo j ER
DISCLOSURES	dx i s k l oo j ER z
DISCO	dx i s k oo
DISCO'S	dx i s k oo z
DISCOBOLUS	dx i s k AH b oo l AH s
DISCOIDAL	dx i s k oo dx AH l
DISCOLORATION	dx i s k AH l ER ee sh AH n
DISCOLORATIONS	dx i s k AH l ER ee sh AH n z
DISCOLOURATION	dx i s k AH l ER ee sh AH n
DISCOMFIT	dx i s k AH m ph i t
DISCOMFITED	dx i s k AH m ph i t i dx
DISCOMFITING	dx i s k AH m ph i t i NG
DISCOMFITTED	dx i s k AH m ph i t i dx
DISCOMFITURE	dx i s k AH m ph i c ER
DISCOMFITURES	dx i s k AH m ph i c ER z
DISCOMFORT	dx i s k AH m ph ER t
DISCOMFORTABLE	dx i s k AH m ph ER t AH b AH l
DISCOMFORTED	dx i s k AH m ph ER t i dx
DISCOMFORTING	dx i s k AH m ph ER t i NG
DISCOMFORTS	dx i s k AH m ph ER t s
DISCOMFORTURE	dx i s k AH m ph ER t u r
DISCOMMODE	dx i s k AH m oo dx
DISCOMMODED	dx i s k AH m oo dx i dx
DISCOMPOSE	dx i s k AH m p oo z
